time	f_x	f_y	f_z	m_x	m_y	m_z	x	y	z	x0	y0	z0	u_x	u_y	u_z	theta	u0_x	u0_y	u0_z	theta0	dx	dy	dz	lambda_11	lambda_12	lambda_13	lambda_21	lambda_22	lambda_23	lambda_31	lambda_32	lambda_33	omega_x	omega_y	omega_z	lambda_w_11	lambda_w_12	lambda_w_13	lambda_w_21	lambda_w_22	lambda_w_23	lambda_w_31	lambda_w_32	lambda_w_33
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6190181444389147	-0.04576418593325049	-0.05462059804875346	0.6190181444389147	-0.04576418593325049	-0.05462059804875346	0.7350241123164396	-0.1580154270481944	0.6593714272913306	3.835239587395095	2.2774516014344577e-22	-7.651768441508765e-22	1.9343481827027488e-21	0.005	0.0012447467152865194	-0.0005242515500819175	0.0020106974258408497	4.163454126530209	-0.27811276086235964	-0.09303254512234868	-0.2781127608623592	1.9614148552663329	-0.06187931876937427	-0.09303254512234846	-0.0618793187693741	1.3245859191292535	5.9594425577407135e-06	-0.003563372100500068	-0.00040788821709144386	0.033884768811314275	0.008452155437246976	0.01209611510941315	0.008452155437246974	0.011429359462419481	0.004486280172858828	0.012096115109413145	0.0044862801728588276	0.027047399330531158
0.005	-0.5250212312752354	2.0533218228576233	-0.18565985916692299	0.2113089671541702	0.0065054109882180244	5.902700884598262	0.6190196106364283	-0.04576590165903083	-0.05461684216371787	0.6190181444389147	-0.04576418593325049	-0.05462059804875346	0.7350039138373168	-0.15801416554533879	0.6593942448420645	3.8352563365854535	-0.003454475989727828	0.01126854020359636	0.0015010141499601692	0.005029880852352089	0.00029321247399752954	-0.00034314637455288476	0.0007511819454157168	4.163384238099539	-0.2781342097442675	-0.09284178319550877	-0.27813420974426833	1.9614065000251324	-0.06187348645402275	-0.09284178319550854	-0.06187348645402264	1.3245745284754824	0.0034750603128268155	-0.011335906047919007	-0.0015099222565777624	0.0338836681501148	0.008451476872569622	0.012094571970899318	0.008451476872569624	0.011429053690632933	0.004485773739338636	0.012094571970899321	0.004485773739338637	0.027046581249436305
0.01	-0.5083513375378264	1.9879559007328709	-0.17877245726023616	0.17285477547305578	0.05138571766416776	5.973470550325523	0.6190183827993485	-0.04576818666974625	-0.05461200460636969	0.6190181444389147	-0.04576418593325049	-0.05462059804875346	0.7349772378525782	-0.1580104231891675	0.6594248751769795	3.8352862273178707	-0.008573217162228718	0.02656973480622318	0.0019748690487272308	0.005070964027930125	-0.0002456201427963781	-0.00045701486454260493	0.00096751355906309	4.163281854639233	-0.2781460137458838	-0.09257632668924	-0.2781460137458839	1.9613890236150355	-0.06186236258156866	-0.09257632668924015	-0.061862362581568554	1.3245584846938852	0.005219657604712563	-0.015610972123561412	-0.000492843401658339	0.033882060587051545	0.008450669039098259	0.012092206544197275	0.008450669039098255	0.011428726112562512	0.004485032275748849	0.012092206544197272	0.00448503227574885	0.02704521387359047
0.015	-0.5158847950632242	2.095266629296252	-0.18433966336385216	0.17806913071931801	0.03275856424452726	6.148178153363363	0.619019852295001	-0.045769696924763126	-0.0546006515013065	0.6190181444389147	-0.04576418593325049	-0.05462059804875346	0.7349340819774309	-0.1580003602115733	0.6594753834079056	3.8353361947365316	-0.015945035958689145	0.051581669161281374	0.0016224891659087804	0.005138783766225544	0.00029375619708186883	-0.0003020860751784621	0.002270622398639382	4.1631277018787225	-0.27815083455698236	-0.09214242970688273	-0.27815083455698236	1.9613596067083001	-0.06184662369699469	-0.09214242970688293	-0.06184662369699459	1.3245320740194055	0.007692474682633989	-0.026066615227617673	0.00033540562726789403	0.03387928946547495	0.008449479167443102	0.012088635785935359	0.008449479167443102	0.011428291799145607	0.004483996192597999	0.012088635785935362	0.004483996192598	0.02704335813760234
0.02	-0.534458230332158	2.0749311326459834	-0.178782332465138	0.19714758712134828	0.022855992389269525	6.199669600730924	0.6190193842814051	-0.04577027898434988	-0.05458725602653315	0.6190181444389147	-0.04576418593325049	-0.05462059804875346	0.7348786511299675	-0.1579878816735747	0.6595401408236623	3.8354043923644667	-0.02580047533554281	0.08278118656001478	0.0007728899643771394	0.005226604652946509	-9.383810687063401e-05	-0.00011648344946590586	0.002679095200069122	4.162922828862893	-0.2781526465243795	-0.0915832924997896	-0.2781526465243793	1.9613195277965687	-0.06182237001091776	-0.09158329249978935	-0.06182237001091772	1.324497779217369	0.010581775371314476	-0.033519569824241695	0.0008596678942965921	0.033875718390549155	0.008447935760269048	0.012083864009482692	0.008447935760269046	0.011427722664000509	0.004482546560056801	0.012083864009482689	0.004482546560056799	0.02704077222207752
0.025	-0.5550046842059118	2.0732263378763016	-0.17274618252080728	0.1906814108991845	0.003924833380433937	6.235411021261261	0.6190172746268339	-0.04577046393942191	-0.05456988746115832	0.6190181444389147	-0.04576418593325049	-0.05462059804875346	0.7348053721167794	-0.15797037754263726	0.659625973508744	3.83549752322231	-0.03850312164405641	0.12269405978862091	-0.0008930304386281906	0.00534358327831833	-0.0004223471213701746	-3.7123235013443836e-05	0.003473714059260925	4.16264702978573	-0.27814843310874654	-0.09083843631372712	-0.2781484331087465	1.9612637244784066	-0.061788699765493484	-0.09083843631372687	-0.06178869976549354	1.3244523592633688	0.014178521095070755	-0.044592408185271645	0.001762373554695353	0.03387093984958827	0.008445932740906685	0.012077392828381729	0.008445932740906686	0.011427001790349174	0.004480590780964607	0.012077392828381727	0.004480590780964606	0.02703720221827887
0.030000000000000002	-0.5830180159736749	2.07807529725212	-0.1742313931633263	0.21683955225988472	-0.004760247275037592	6.24404945193739	0.6190145458299324	-0.04577124340914002	-0.05454861835618867	0.6190181444389147	-0.04576418593325049	-0.05462059804875346	0.7347147662793101	-0.1579461844046106	0.6597326845345498	3.835611655110652	-0.05274706118446173	0.1700788069108385	-0.003268434209405602	0.005488775864969608	-0.0005464049581851647	-0.0001560833918321339	0.004253822497788903	4.1623042563373875	-0.27813864599242905	-0.08990995620293465	-0.27813864599242916	1.961192707084737	-0.06174916446970048	-0.0899099562029345	-0.06174916446970041	1.3243968356058342	0.0167535242342265	-0.055579900111246715	0.002633383267226253	0.033864964858081444	0.008443532961952768	0.012069295860822647	0.008443532961952768	0.01142617325961566	0.004478236221521857	0.012069295860822647	0.0044782362215218564	0.027032721448088555
0.035	-0.5713171027326422	2.144818383778197	-0.1911284797257136	0.19482444512099	0.01086019594298121	6.270126281367018	0.6190121794758096	-0.04577215084794839	-0.054521242356147956	0.6190181444389147	-0.04576418593325049	-0.05462059804875346	0.7346019318920054	-0.15791553354596516	0.6598656574829659	3.8357527933811038	-0.06922544712656283	0.22574380951777154	-0.006052071063314251	0.0056695666832831644	-0.000474271916035274	-0.00018177641435931913	0.005475200607818268	4.161880608412572	-0.2781262791380436	-0.08875476785149629	-0.27812627913804405	1.9611050281535451	-0.061701085339822985	-0.08875476785149629	-0.0617010853398229	1.3243286248266404	0.02059112510886558	-0.06926927815715314	0.003274281558090215	0.03385752751385903	0.008440562043393664	0.012059304163142564	0.00844056204339366	0.011425152853311912	0.004475351249340216	0.012059304163142562	0.004475351249340217	0.02702724140758893
0.04	-0.5954202364369761	2.0393164865961935	-0.17347349727347922	0.18952002457706904	-0.005619432612187773	6.207362197851145	0.619009547655606	-0.04577241661414144	-0.05448820197667503	0.6190181444389147	-0.04576418593325049	-0.05462059804875346	0.7344660797002787	-0.15788007438494273	0.6600253479086305	3.8359231327751604	-0.08808455140938934	0.288005883976511	-0.008949422103803648	0.005886880194333751	-0.0005278043782979242	-5.358819683575438e-05	0.00660807559537155	4.161372306754035	-0.27811407293543416	-0.08737060240365274	-0.2781140729354343	1.9610012680163416	-0.06164157729146779	-0.0873706024036528	-0.06164157729146792	1.324247676122995	0.02521162591464987	-0.08311758763687763	0.0036741612058521266	0.03384864395530504	0.008436941545798524	0.012047374144677674	0.008436941545798523	0.011423883795108874	0.00447183857328974	0.012047374144677672	0.00447183857328974	0.027020715586803808
0.045	-0.6215787197306889	2.0060499861353365	-0.15938598112874983	0.19017101776600714	-0.04020720059557377	6.177087193211384	0.6190047168699988	-0.04577122692391283	-0.05445594407110669	0.6190638015968126	-0.045781511016665194	-0.05462004173873563	0.7343192701344404	-0.1578423113180143	0.6601977084684632	3.8361104733485765	0.0611973762560738	0.31009827317101835	0.051480804997797835	0.005953244704015884	-0.0009678411863011883	0.00023740252215422448	0.006451583532348442	4.1608173462503135	-0.2780977823463901	-0.08587478854265898	-0.2780977823463899	1.96088804887853	-0.06157395758884694	-0.08587478854265891	-0.06157395758884693	1.3241614799240404	0.0278658628943346	-0.0897934352298339	0.004284646452813277	0.03383906734082601	0.008433021844233595	0.012034362459627133	0.0084330218442336	0.011422503064648464	0.004467951801822221	0.01203436245962713	0.0044679518018222175	0.02701351976529899
