time	f_x	f_y	f_z	m_x	m_y	m_z	x	y	z	x0	y0	z0	u_x	u_y	u_z	theta	u0_x	u0_y	u0_z	theta0	dx	dy	dz	lambda_11	lambda_12	lambda_13	lambda_21	lambda_22	lambda_23	lambda_31	lambda_32	lambda_33	omega_x	omega_y	omega_z	lambda_w_11	lambda_w_12	lambda_w_13	lambda_w_21	lambda_w_22	lambda_w_23	lambda_w_31	lambda_w_32	lambda_w_33
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6191314443834661	-0.04581925799300296	-0.054505233454481224	0.6191314443834661	-0.04581925799300296	-0.054505233454481224	0.734964929974983	-0.15792313833114918	0.6594595014756474	3.8350884977059505	1.910276877937447e-21	5.410147441566977e-22	3.1893301154712567e-23	0.005	6.238694875426094e-05	0.00025521824015920023	8.222599637083358e-05	4.163585970123872	-0.2782124468494436	-0.09251789849357582	-0.27821244684944335	1.9614611664322046	-0.0620203488710509	-0.09251789849357538	-0.06202034887105101	1.3245665809254088	0.0008439116870743584	-0.00045513071468933775	5.1088970894190886e-05	0.03388079621725939	0.008451642583767528	0.012100352713937708	0.00845164258376753	0.011429596046025333	0.004490242431144134	0.01210035271393771	0.004490242431144134	0.027055076525678925
0.005	-0.4703707652599003	1.6046745199228725	-0.5038850475794204	-0.1571179581240093	0.6566466003948711	5.87238118089841	0.6191377050622204	-0.04581926535393532	-0.05449781581282089	0.6191314443834661	-0.04581925799300296	-0.054505233454481224	0.7349452108808633	-0.1579154622239725	0.6594833157812808	3.835110617565729	-0.002634074930544749	0.012394145826457802	-0.000762270853127716	0.005031937335880498	0.0012521005670263119	-1.4885600254161881e-06	0.0014835395149221794	4.163534489285415	-0.27820505513719795	-0.09232102634828979	-0.2782050551371973	1.9614501150985477	-0.06201787742681692	-0.09232102634828997	-0.06201787742681687	1.3245545357629458	0.0026508793360954823	-0.012473302032573765	0.0007671237110444423	0.03387940462280135	0.008451197659472953	0.012099243687626363	0.008451197659472949	0.011429476201359699	0.004490019968528439	0.012099243687626366	0.004490019968528441	0.027054857195837737
0.01	-0.4747617063936167	1.582965857752274	-0.5193190700194145	-0.16738225904783458	0.613183703347203	5.92730002216983	0.6191434604157722	-0.04581716303065658	-0.05448896587341198	0.6190897906708757	-0.04571516344795648	-0.05431763776915822	0.7349177241028003	-0.15790880106621574	0.6595155413979193	3.83514427601541	0.21674004706985214	0.10901207722073594	0.06344172396769922	0.0057167944594680884	0.0011510097510902667	0.00042044070812471057	0.001769997489889875	4.163453772504187	-0.27820220836822246	-0.09205259769393939	-0.2782022083682233	1.9614347876054536	-0.06200906301924092	-0.09205259769393986	-0.06200906301924064	1.3245375190475093	0.00510688553632075	-0.016707367413095735	0.0005157752480317149	0.03387758269415144	0.008450459934363153	0.012097482290189608	0.008450459934363155	0.011429213568941242	0.004489498621971513	0.012097482290189605	0.004489498621971513	0.027054252917292174
0.015	-0.4746323465625322	1.6451664352969098	-0.5290197944633128	-0.15047062550055007	0.6647136369458666	6.115880679273728	0.6191491703629324	-0.04581531404979278	-0.054478342799652635	0.6190620215291487	-0.04564576708459217	-0.054192573978942955	0.734882077638881	-0.15790001299506842	0.659557365102778	3.835188137877111	0.3461470986529919	0.17427446400322502	0.10171498797932535	0.006252610739075927	0.0011418883017083833	0.0003697605022734301	0.0021246241336624035	4.1633427216709435	-0.278198650077488	-0.09170051212010061	-0.278198650077488	1.9614132427161306	-0.06199708764974153	-0.0917005121201007	-0.06199708764974156	1.3245155341221606	0.006617353726390189	-0.0217008326813137	0.0007317101840623421	0.033875220918304395	0.008449509003145656	0.012095009079511818	0.008449509003145655	0.011428878814177895	0.004488777869155762	0.012095009079511814	0.004488777869155762	0.02705326525214197
0.02	-0.45514327626125917	1.6643210399017752	-0.52723495024177	-0.17280664328531897	0.6757548526885612	6.193571815735031	0.619155217522637	-0.045813081899020114	-0.054464997585542754	0.6190435087679973	-0.04559950284234929	-0.054109198118799225	0.7348374871619453	-0.1578890636629864	0.6596096656638255	3.83524372530858	0.42666050149054935	0.22435219875289625	0.1259772810766009	0.006658851746471864	0.0012092750421631134	0.0004463753089071551	0.0026690536743087167	4.163200111613749	-0.27819366669537055	-0.09125847498065881	-0.2781936666953709	1.9613852113969796	-0.06198107231036395	-0.0912584749806588	-0.061981072310363976	1.3244880149591487	0.008394716182933224	-0.027158020743525187	0.0010012284230015637	0.03387226771569368	0.008448316385383313	0.012091806562809363	0.008448316385383311	0.01142845796131207	0.004487833389538448	0.01209180656280937	0.00448783338953845	0.0270519101371234
0.025	-0.4749914849773308	1.683438079437278	-0.5677511795510071	-0.1988574502221415	0.7703967501717489	6.291834637646477	0.6191596094069096	-0.04580930302229169	-0.054449803075389526	0.6190311669272297	-0.045568660014187384	-0.05405361421203659	0.7347859870910705	-0.15787473601346205	0.6596704638706216	3.835318759571043	0.47740514364294767	0.2663455071903268	0.140694992229344	0.00696616895899177	0.0008781565198142183	0.0007557017216917813	0.003038909809993735	4.163025220707388	-0.27816862815711346	-0.09072790352169435	-0.27816862815711424	1.9613449025473495	-0.06196142947928606	-0.0907279035216942	-0.06196142947928596	1.3244554732848381	0.010873368558686258	-0.03202497863299929	0.0029726467214420097	0.03386863526906299	0.008447089746831478	0.012087710226502159	0.00844708974683148	0.011428101175319307	0.004486735892748819	0.01208771022650216	0.004486735892748819	0.02705001849531575
0.030000000000000002	-0.4734838868632507	1.7010367987054762	-0.5622707790697417	-0.21354168962785186	0.8383915115142807	6.344886252666055	0.619162457967602	-0.045803787589804135	-0.05443166054361186	0.6190229390333846	-0.045548098128746106	-0.05401655827419483	0.7347243461629512	-0.1578492717885369	0.6597452103283907	3.8354166482461842	0.509162293117257	0.3063040796503635	0.14775680831311375	0.007206118443505908	0.0005693658999225816	0.0011029854069768738	0.0036285121483871394	4.162804992994604	-0.2781065127425217	-0.090059899333376	-0.2781065127425213	1.961284687800948	-0.06193931543335662	-0.09005989933337598	-0.06193931543335663	1.3244156792833188	0.012151125912789142	-0.04016205771497397	0.006532980827787761	0.03386390053825625	0.0084459140663447	0.012082304940089529	0.008445914066344703	0.011427921215035603	0.00448552657284643	0.012082304940089529	0.00448552657284643	0.027047396571483435
0.035	-0.46435172326768237	1.6693317783623531	-0.5844516224410005	-0.22752181958332457	0.8710471494072028	6.321586560346785	0.6191653618172099	-0.04579651751090075	-0.05441113559441214	0.6190174537708213	-0.04553439020511857	-0.05399185431563381	0.734656503680307	-0.1578138585749502	0.6598292261198445	3.8355353267158727	0.5281163512421035	0.34479315366933194	0.148894616570905	0.007396676366264459	0.0005803053372547834	0.0014539003931354757	0.00410499439558554	4.162558326925854	-0.27800346053371844	-0.08929077079363802	-0.278003460533718	1.9612073009298259	-0.061918940581120574	-0.0892907707936384	-0.06191894058112044	1.3243712869036877	0.013160140096979148	-0.04594578403795486	0.010330682487834466	0.033858253954726185	0.008444956809476128	0.01207602476934512	0.00844495680947613	0.011428006203818213	0.004484408786059797	0.012076024769345124	0.004484408786059797	0.02704436581226818
0.04	-0.48960162502040216	1.6917747984482185	-0.568661699619267	-0.21353389330095457	0.854011374759588	6.28997420399909	0.6191696602896906	-0.045788264858103445	-0.05438661239519657	0.6190137969291123	-0.04552525158936688	-0.05397538500992661	0.7345778905241513	-0.1577680016151873	0.6599277084798292	3.8356771314409355	0.5372891285310814	0.3846759858002796	0.14551200652038684	0.007556464118956805	0.0008590363816316319	0.0016503903492729151	0.004904642101524157	4.162272917799122	-0.2778654404001431	-0.08837992718708851	-0.2778654404001427	1.961112105585662	-0.06189978222380643	-0.08837992718708877	-0.0618997822238063	1.3243201219776177	0.014691217135839126	-0.05428286734588861	0.013645452923839362	0.03385146170620395	0.008444061263290122	0.012068634886901086	0.008444061263290123	0.011428282676273048	0.004483302792892937	0.012068634886901084	0.004483302792892937	0.02704085868901648
0.045	-0.5047699836894425	1.7079632517714332	-0.5328849105749874	-0.1782041472111091	0.7034256049567399	6.297934860996739	0.6191749763240341	-0.04578068773733179	-0.05435660263116429	0.6190036004967114	-0.04543476396891752	-0.053799221133900794	0.7344788920272105	-0.1577159762950879	0.6600503223147224	3.8358440769319504	0.46648430834092025	0.5406463960417031	0.16160959923834686	0.007887278678137566	0.001062221250476193	0.0015152190562929884	0.006001951895379975	4.1619147107957675	-0.27772379954868914	-0.0872586966084404	-0.2777237995486892	1.9610015220517087	-0.06187448022953247	-0.08725869660844002	-0.06187448022953259	1.3242577282398058	0.018206808331259716	-0.06689103108506367	0.014342192495262154	0.03384329966600861	0.008442675531801506	0.01205953707591199	0.008442675531801508	0.011428411115774686	0.004481769180292869	0.012059537075911994	0.004481769180292869	0.027036483821305544
